Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,SMA_20,SMA_50,SMA_200,Daily_Return,Cumulative_Return,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,ATR
2022-07-20 00:00:00-04:00,508.43519998389655,509.0070412062062,491.5461050838903,495.1107177734375,4327500,0.0,0.0,UNH,,,,,,,0.0,0.0,0.0,,,,
2022-07-21 00:00:00-04:00,495.0346152634098,497.97014505327775,487.1714768496159,497.9606628417969,2667600,0.0,0.0,UNH,,,,0.005756177287326469,0.005756177287326469,,0.2273460453391749,0.045469209067834984,0.18187683627133994,,,,
2022-07-22 00:00:00-04:00,501.3344746868731,502.85942320377,494.090881972027,496.9596862792969,1850300,0.0,0.0,UNH,,,,-0.002010151879844435,0.0037344546168871506,,0.32302534601416255,0.1009804364571005,0.22204490955706205,,,,
2022-07-25 00:00:00-04:00,501.42042590400854,507.90154624698965,499.6380610909416,504.6418762207031,2337200,0.0,0.0,UNH,,,,0.015458376511226168,0.0192505597336452,,1.0071308293786387,0.28221051504140815,0.7249203143372306,,,,
2022-07-26 00:00:00-04:00,508.7687141384488,512.4286721193239,506.12864622068577,506.6623840332031,2637800,0.0,0.0,UNH,,,,0.004003844919949318,0.0233314809093903,,1.6928137449277187,0.5643311610186703,1.1284825839090484,,,,
2022-07-27 00:00:00-04:00,508.5209699653857,512.6384014705028,503.27887855707087,509.5408020019531,2268100,0.0,0.0,UNH,,,,0.005681136116395313,0.029145166344628937,,2.4403557674954754,0.9395360823140314,1.500819685181444,,,,
2022-07-28 00:00:00-04:00,512.285654141507,518.8144743150699,506.80528694428875,516.0980834960938,2344500,0.0,0.0,UNH,,,,0.012869001792157775,0.04238923733470856,,3.521314499609673,1.4558917657731598,2.065422733836513,,,,
2022-07-29 00:00:00-04:00,514.6876292990953,518.34752979891,511.52330517906756,516.9083862304688,2945700,0.0,0.0,UNH,,,,0.0015700556934563625,0.044025846491583476,,4.392730083357435,2.043259429290015,2.34947065406742,,,,
2022-08-01 00:00:00-04:00,516.8417059687326,518.1569991846375,506.10016409653537,510.2747802734375,2335000,0.0,0.0,UNH,,,,-0.012833233380883047,0.030627619147882923,,4.4962269448968755,2.533852932411387,1.9623740124854883,,,,
2022-08-02 00:00:00-04:00,512.3430367513542,515.1833372786131,506.7864025257885,510.35107421875,2114200,0.0,0.0,UNH,,,,0.00014951541456076356,0.0307817138636175,,4.532161302767236,2.9335146064825572,1.5986466962846784,,,,
