Date,Close_Diff,Close_Diff_%,Open_Diff,Open_Diff_%,High_Diff,High_Diff_%,Low_Diff,Low_Diff_%,Volume_Diff,Volume_Diff_%
2025-07-18,0.2600018310546943,0.12327035525879099,0.11499511718750455,0.05456340989455792,6.713867179541921e-06,3.170058733828535e-06,1.7089843993289833e-06,8.149488510052631e-07,17263993,54.442346197392624
2025-07-17,-4.272460955689894e-06,-2.034311431661143e-06,-7.32421875682121e-06,-3.478282044956178e-06,-3.0517578011313162e-06,-1.4408676851555826e-06,3.6621093499888957e-06,1.747272968164484e-06,57440,0.11963999691735384
2025-07-16,-3.6621093499888957e-06,-1.7425339199540341e-06,-0.0050030517578250056,-0.002379006982987862,6.1035156022626325e-06,2.8735949988949866e-06,6.103515488575795e-07,2.925381281839966e-07,30,6.317052884261063e-05
2025-07-15,-6.103515488575795e-07,-2.9188061167619036e-07,-1.2207031261368684e-06,-5.834543155599959e-07,6.103515488575795e-07,2.880511353134665e-07,1.8310546749944479e-06,8.764382017243494e-07,40,9.457091991498075e-05
2025-07-14,4.8828125045474735e-06,2.3405294884628223e-06,-0.004992675781238631,-0.002378257493177446,-3.6621093499888957e-06,-1.7363374360638757e-06,6.713867179541921e-06,3.2349751357491833e-06,10,2.574658664627537e-05
2025-07-11,-3.6621093499888957e-06,-1.7342817230903593e-06,-0.005007324218752274,-0.0023779854891881154,-4.8828125045474735e-06,-2.301801910222412e-06,-6.103515488575795e-07,-2.908374855057888e-07,10,2.5147237073062785e-05
2025-07-10,-3.6621093499888957e-06,-1.7240757435390784e-06,-0.004994506835913626,-0.0023725746835034185,4.272460955689894e-06,2.0013401916790206e-06,1.2207031261368684e-06,5.812041771326219e-07,40,9.000171003249063e-05
2025-07-09,6.103515488575795e-07,2.89074334859311e-07,1.2207031261368684e-06,5.825911006770278e-07,-1.8310546749944479e-06,-8.664433157286693e-07,-1.2207031261368684e-06,-5.890855703821458e-07,-30,-6.153921894423317e-05
2025-07-08,5.493164081826762e-06,2.6156679327221057e-06,-6.1035156022626325e-06,-2.9050525582828633e-06,7.32421875682121e-06,3.464134233808816e-06,3.0517578011313162e-06,1.4640239125976398e-06,30,7.001346592327924e-05
2025-07-07,3.0517578011313162e-06,1.4535641083546427e-06,7.32421875682121e-06,3.4437742190383525e-06,4.272460955689894e-06,1.975887268237019e-06,-3.0517578011313162e-06,-1.4615698067661617e-06,-20,-3.9817635230643655e-05
2025-07-03,-3.0517578011313162e-06,-1.429060059714289e-06,-0.00499389648439319,-0.002353946089119329,6.1035156022626325e-06,2.8434734571695685e-06,0.00010244140625559339,4.8364764381461575e-05,40,0.00011443022331058079
2025-07-02,-2.4414062522737368e-06,-1.1492215327699916e-06,-3.6621093499888957e-06,-1.7529602631724542e-06,3.6621093499888957e-06,1.7165601447694782e-06,6.103515488575795e-07,2.932408718398096e-07,10,1.4718479639927114e-05
2025-07-01,-7.32421875682121e-06,-3.5243087761972506e-06,-0.004998168945320458,-0.002418429859003838,-0.003502441406254775,-0.001666321597399065,0.00010061035155217724,4.8806806951620427e-05,-30,-3.807642954781701e-05
2025-06-30,1.8310546749944479e-06,8.924573238464831e-07,5.493164081826762e-06,2.7192536167515595e-06,6.103515488575795e-07,2.943013407849232e-07,0.0007054931641050644,0.0003540566012014325,20,2.1759754898120827e-05
2025-06-27,-1.8310546749944479e-06,-9.106100349714941e-07,6.103515488575795e-07,3.023188621045061e-07,-1.2207031261368684e-06,-6.006806017145663e-07,0.0,0.0,-30,-4.0989990244382326e-05
2025-06-26,0.0,0.0,7.32421875682121e-06,3.6361113156619955e-06,6.103515488575795e-07,3.011999361902675e-07,-6.713867179541921e-06,-3.3660217354615925e-06,20,3.9370776253910005e-05
2025-06-25,2.4414062522737368e-06,1.2112553491989484e-06,3.0517578011313162e-06,1.5148959282016734e-06,1.8310546749944479e-06,8.990301426111756e-07,0.00010488281250786713,5.2279341571413297e-05,30,7.589998406100335e-05
2025-06-24,-3.0517578011313162e-06,-1.5235934870868362e-06,3.6621093499888957e-06,1.8076456963260071e-06,-2.4414062522737368e-06,-1.2000620443252788e-06,3.0517578011313162e-06,1.5243545692562067e-06,30,5.5489789878662325e-05
2025-06-23,0.0,0.0,-0.0050048828125,-0.002482211323363723,-3.0517578011313162e-06,-1.5085307736503265e-06,-6.713867179541921e-06,-3.3744807765298367e-06,-30,-5.374966630415503e-05
2025-06-20,0.0,0.0,-0.005005493164077279,-0.0025249662153837477,3.0517578011313162e-06,1.5130182683713284e-06,-0.005000610351572732,-0.002540186089641708,40,4.131655192715892e-05
